date,open,high,low,close,adj_close,rsi_14,momentum_10,ppo_12_26,stoch_k_14,bb_percent_b_20,fibonacci_0_618_20,macd_hist_12_26_9
2015-01-30,17.149999618530273,17.149999618530273,17.0,17.0,11.97642707824707,27.68223532211411,0.03816782660302409,0.9071793598709329,67.94873048880925,0.7028502303032055,-4.073049971662267,0.03869322173087496
2015-02-02,17.049999237060547,17.087499618530273,16.975000381469727,17.037500381469727,12.002846717834473,28.760516188259416,0.028679266687731797,0.8793834007314498,71.79492195523699,0.7115135638059105,-4.049823930460211,0.028409840321213492
2015-02-03,17.087499618530273,17.212499618530273,17.024999618530273,17.162500381469727,12.090909957885742,32.37974597640017,0.02846460450324062,0.9062437750730087,84.6154297597133,0.7745848172986266,-3.972405749373719,0.02540424546477317
2015-02-04,17.299999237060547,17.375,17.262500762939453,17.350000381469727,12.223002433776855,37.50820071192323,0.03197037606026232,1.0045688338211871,97.59039909991562,0.873825783735927,-4.34777896089523,0.029869726031430774
2015-02-05,17.262500762939453,17.3125,17.200000762939453,17.274999618530273,12.170164108276367,36.321531883288436,0.022189430871776716,1.0345026341769803,88.40574261717212,0.7870908937778174,-4.398707448676253,0.026913913203948855
2015-02-06,17.274999618530273,17.299999237060547,17.162500381469727,17.1875,12.108521461486816,34.93299924325579,0.0007279623697997728,1.0050260863029574,76.19048772394684,0.7028014173480942,-4.4581220261458325,0.01883831257555249
2015-02-09,17.1875,17.1875,17.0625,17.125,12.064489364624023,33.93503939823229,-0.002911140117859645,0.9412130029604341,60.0,0.6390304462333258,-4.5005625858306555,0.009057992299459819
2015-02-10,17.112499237060547,17.125,17.049999237060547,17.0625,12.020461082458496,32.92226219167621,-0.013015073633712904,0.8513013973548126,39.024481015861674,0.5739870580703013,-4.542999468700189,-0.0012985142274409556
2015-02-11,17.174999237060547,17.3125,17.174999237060547,17.25,12.152551651000977,38.821416171268844,-0.0021692833456155025,0.8586460767881627,68.74997019764919,0.7051552555430238,-4.4156833048686535,-0.0002308047652857803
2015-02-12,17.25,17.299999237060547,17.200000762939453,17.25,12.152551651000977,38.821416171268844,0.010248699003559736,0.8544547407440659,68.74997019764919,0.6887174245965869,-4.4156833048686535,-0.0004877745853264781
2015-02-13,17.337499618530273,17.412500381469727,17.337499618530273,17.362499237060547,12.231806755065918,42.349502335781,0.02132352788944014,0.8936128939689845,88.5711669921875,0.8003543726037781,-5.138328691409934,0.003497430390441078
2015-02-24,17.487499237060547,17.612499237060547,17.487499237060547,17.5625,12.372708320617676,48.08184656976128,0.030814490218694868,1.0065377395394928,92.15696834244375,1.0104144875533934,-4.4939930405009365,0.013858799116967316
2015-02-25,17.674999237060547,17.725000381469727,17.637500762939453,17.700000762939453,12.469574928283691,51.64178448243826,0.031318153200783794,1.1462929880095458,96.66671752929688,1.1047344210101766,-4.772177843073199,0.024831668540542848
2015-02-26,17.637500762939453,17.662500381469727,17.512500762939453,17.575000762939453,12.381513595581055,48.393135456375845,0.01296826722100386,1.1842388577747407,80.00005086263022,0.9175842048772234,-5.577338777838959,0.023754333282828166
2015-03-02,17.575000762939453,17.637500762939453,17.4375,17.5,12.328675270080566,46.502840773576544,0.01302457061334139,1.1655895199142159,69.99994913736978,0.799941846009669,-6.5771001485188805,0.017374347978274945
2015-03-03,17.512500762939453,17.524999618530273,17.375,17.475000381469727,12.311064720153809,45.85987599563571,0.016727332012518303,1.1260274531119536,64.28575321115416,0.7428739061734911,-6.600580881754557,0.01021376841095295
2015-03-04,17.387500762939453,17.512500762939453,17.375,17.487499237060547,12.319868087768555,46.259882372138115,0.02116780208645741,1.0878153106527815,64.81470492660253,0.7350215851227928,-6.588843058268229,0.0046016921610970984
2015-03-05,17.487499237060547,17.5,17.337499618530273,17.424999237060547,12.275837898254395,44.489403879752686,0.021245176374188324,1.016718123611947,55.55546136565931,0.6463806308805646,-6.647549977620443,-0.00312782027273667
2015-03-06,17.387500762939453,17.475000381469727,17.325000762939453,17.450000762939453,12.293451309204102,45.38980791361339,0.011594244752008098,0.9608663720772358,59.25938484578759,0.6654085360868867,-6.624065429687501,-0.007838227364930145
2015-03-09,17.362499237060547,17.375,17.225000381469727,17.274999618530273,12.170164108276367,40.44463309880152,0.0014492805940009568,0.8258662725934562,33.33333333333333,0.4352292559879668,-6.788448364257813,-0.019383473370243223
2015-03-10,17.25,17.262500762939453,17.149999618530273,17.237499237060547,12.143744468688965,39.452674975993794,-0.007199450427916698,0.6934670245007362,27.777730682829656,0.36208776943344534,-6.823674550374349,-0.02838140279911651
2015-03-11,17.087499618530273,17.287500381469727,17.075000762939453,17.262500762939453,12.161357879638672,40.500401019496906,-0.017081986861907428,0.5933270801725735,28.846170775293658,0.3717958849431131,-7.330052054212239,-0.0324362638445722
2015-03-12,17.212499618530273,17.412500381469727,17.200000762939453,17.412500381469727,12.267034530639648,46.483928139057824,-0.016242766799102193,0.577108357715321,51.9230487078439,0.5786937014441431,-7.467861625623421,-0.027486423819337788
2015-03-13,17.412500381469727,17.4375,17.362499237060547,17.362499237060547,12.231806755065918,44.864229197378215,-0.0120911582707115,0.5348091440091198,44.23056043804488,0.5009576788890591,-7.520050834287008,-0.026081634612141122
2015-03-16,17.337499618530273,17.337499618530273,17.212499618530273,17.225000381469727,12.134939193725586,40.66797442698982,-0.015714265491698187,0.43233504360588715,23.076877932550243,0.29588192181636175,-7.663558089263766,-0.030846717754979422
2015-03-17,17.299999237060547,17.4375,17.25,17.287500381469727,12.178971290588379,43.265641391585746,-0.010729651136443641,0.3758854834679695,32.692268190981466,0.38029889848617177,-7.5983254637675035,-0.03016697089561124
